,raceId,Alonso,Stroll,alonso_better_than_stroll
0,1121,9.0,10.0,True
1,1122,5.0,21.0,True
2,1123,8.0,6.0,False
3,1124,6.0,12.0,True
4,1125,7.0,15.0,True
5,1126,9.0,17.0,True
6,1127,19.0,9.0,False
7,1128,11.0,14.0,True
8,1129,6.0,7.0,True
9,1130,12.0,14.0,True
10,1131,18.0,13.0,False
11,1132,8.0,7.0,False
12,1133,11.0,10.0,False
13,1134,8.0,11.0,True
14,1135,10.0,13.0,True
15,1136,11.0,19.0,True
16,1137,6.0,19.0,True
17,1138,8.0,14.0,True
18,1139,13.0,15.0,True
19,1140,21.0,11.0,False
20,1141,14.0,21.0,True
21,1142,11.0,15.0,True
22,1143,7.0,21.0,True
23,1144,9.0,14.0,True
